label
6
13
4
13
13
6
6
13
7
12
1
7
10
7
7
13
7
6
14
14
4
14
7
13
4
6
6
8
10
8
7
14
8
13
2
12
6
8
6
4
7
1
7
6
13
7
0
7
7
7
7
13
14
13
6
13
3
3
6
8
8
8
12
8
8
8
8
7
13
10
6
13
13
2
14
14
14
6
7
13
13
13
12
10
7
13
8
6
7
13
6
13
12
7
6
7
6
4
3
13
7
6
7
7
3
2
13
6
2
13
13
6
7
7
7
6
9
7
13
3
14
14
2
14
14
7
7
12
4
7
4
4
7
2
7
7
13
3
3
3
3
7
3
3
7
4
14
7
7
7
13
13
7
7
13
13
13
7
4
10
13
3
6
14
14
4
8
2
7
13
7
6
6
7
3
13
13
2
2
14
3
3
6
2
2
11
14
3
11
6
6
13
13
14
3
14
4
6
13
11
11
6
2
2
11
2
2
6
2
14
8
13
14
14
7
7
8
13
14
6
14
14
13
6
8
14
7
7
2
4
8
8
8
7
8
10
6
14
8
7
13
6
7
14
8
1
1
1
7
14
7
7
7
7
6
6
13
1
7
13
5
5
5
5
5
7
5
13
7
5
13
13
13
13
1
1
0
13
14
13
9
9
13
13
13
13
0
6
5
13
5
10
14
13
14
10
9
9
9
9
7
14
13
4
1
6
1
14
2
13
7
8
2
5
8
14
10
10
14
14
14
0
10
13
5
14
6
1
7
7
11
5
7
14
6
6
5
1
5
5
0
0
5
14
12
0
5
6
5
5
11
11
11
13
10
6
6
6
14
14
6
1
9
7
5
13
13
1
9
9
9
9
14
10
1
5
1
5
14
13
14
6
1
1
1
1
1
6
7
14
2
5
14
2
1
7
5
14
14
5
2
1
1
1
6
2
7
14
4
14
1
1
13
1
9
1
14
5
1
6
7
8
14
6
6
14
1
14
